milliliter,seconds,cubic_meter,volumetric_flow_rate
10.0,4.3,9.999999999999999e-06,2.325581395348837e-06
10.0,4.08,9.999999999999999e-06,2.4509803921568624e-06
11.0,4.1,1.1e-05,2.682926829268293e-06
10.5,3.83,1.05e-05,2.7415143603133157e-06
11.0,4.03,1.1e-05,2.7295285359801486e-06
11.0,3.83,1.1e-05,2.8720626631853784e-06
10.0,4.17,9.999999999999999e-06,2.398081534772182e-06
10.0,4.43,9.999999999999999e-06,2.2573363431151243e-06
10.0,4.37,9.999999999999999e-06,2.2883295194508005e-06
10.0,4.55,9.999999999999999e-06,2.1978021978021976e-06
11.0,4.49,1.1e-05,2.4498886414253895e-06
9.5,3.64,9.499999999999999e-06,2.6098901098901094e-06
13.3,4.52,1.33e-05,2.942477876106195e-06
12.2,4.21,1.2199999999999998e-05,2.897862232779097e-06
9.9,4.33,9.9e-06,2.286374133949192e-06
10.0,4.27,9.999999999999999e-06,2.3419203747072598e-06
10.5,4.41,1.05e-05,2.3809523809523808e-06
10.7,4.35,1.07e-05,2.4597701149425287e-06
11.6,4.48,1.1599999999999999e-05,2.589285714285714e-06
10.7,4.33,1.07e-05,2.4711316397228635e-06
11.2,4.28,1.12e-05,2.6168224299065417e-06
13.0,4.59,1.3e-05,2.832244008714597e-06
11.0,4.34,1.1e-05,2.534562211981567e-06
11.6,4.86,1.1599999999999999e-05,2.386831275720164e-06
11.6,4.6,1.1599999999999999e-05,2.5217391304347826e-06
13.4,4.4,1.34e-05,3.0454545454545455e-06
11.8,4.41,1.18e-05,2.6757369614512473e-06
12.0,4.27,1.2e-05,2.8103044496487124e-06
